RegionName,State,2015,2016,2017,2018,2019
Brazos County, TX,7671169,7852212,8380228,9059306,9477504
Breathitt County, KY,420526,409767,422880,427215,432349
Breckinridge County, KY,649610,641447,670222,679837,704774
Bremer County, IA,1109267,1127911,1172657,1234872,1273401
Brevard County, FL,23174169,24237966,25705081,27354878,28839354
Brewster County, TX,384040,398573,403686,427526,445624
Briscoe County, TX,48681,50438,61181,67600,68663
Bristol County, RI,3430355,3558872,3675904,3720180,3828652
Bristol County, MA,26967051,27770111,29045780,30377835,31492833
Bristol Bay Borough, AK,99722,108505,109746,125503,126988
Broadwater County, MT,216067,229278,239394,261873,281979
Bronx County, NY,47753678,48812619,52064265,53644875,56318621
Brooke County, WV,882695,860880,894840,937424,962729
Brookings County, SD,1492465,1507908,1525382,1622445,1676045
Brooks County, TX,251091,235014,236289,248813,259309
Brooks County, GA,514941,524062,536972,550521,582039
Broome County, NY,7833176,7915206,8313864,8508368,8831155
Broomfield County, CO,3813991,4027778,4324372,4716665,5002714
Broward County, FL,86773734,89234938,93738981,98352536,102145579
Brown County, NE,200966,198444,154780,160034,170100
Brown County, SD,2008800,2001417,1996886,2146936,2151554
Brown County, OH,1442211,1484808,1562918,1611144,1667818
Brown County, WI,12392958,12570081,13119355,13895874,14308955
Brown County, MN,1234308,1253663,1292298,1356491,1398044
Brown County, KS,391867,394733,404032,439660,458399
Brown County, IN,633845,655036,676383,718033,737431
Brown County, TX,1346564,1356132,1412978,1476974,1501734
Brown County, IL,203927,209234,219323,232434,246677
Brule County, SD,217245,203548,235655,243753,240060
Brunswick County, NC,4674367,5091164,5445851,5920033,6302575
Brunswick County, VA,508723,514864,526510,528421,548347
Bryan County, GA,1695235,1786643,1856814,2024275,2134023
Bryan County, OK,1407940,1475148,1552026,1602148,1692723
Buchanan County, MO,3286403,3309038,3386856,3418920,3508187
Buchanan County, VA,721689,698342,739325,758489,778150
Buchanan County, IA,930760,925472,967869,1034605,1076171
Buckingham County, VA,473119,477728,496749,512585,531007
Bucks County, PA,40792118,42326152,43738577,45853193,47662912
Buena Vista County, IA,936405,834822,870456,942044,949486
Buffalo County, WI,583686,558362,571954,602680,620664
Buffalo County, SD,46744,42165,48729,47085,40578
Buffalo County, NE,2438550,2445368,2548316,2778162,2853040
Bullitt County, KY,2924878,3050502,3167771,3332942,3495651
Bulloch County, GA,2196603,2273344,2369656,2501188,2605101
Bullock County, AL,267496,270164,273793,283761,293741
Buncombe County, NC,10835425,11339942,11901502,12687040,13239850
Bureau County, IL,1300243,1322808,1338545,1381238,1404301
Burke County, NC,2828958,2897688,3051300,3156845,3276618
Burke County, GA,765678,768946,788794,804685,861318
Burke County, ND,167442,141798,132871,152063,156983
Burleigh County, ND,5359788,5313500,5342237,5575712,5748719
Burleson County, TX,722368,709927,747022,813705,847823
Burlington County, NJ,25146177,25844658,26483420,27237917,28326597
Burnet County, TX,1955490,2001109,2102991,2282920,2394797
Burnett County, WI,603048,606953,634208,669506,693981
Burt County, NE,305103,291871,291977,305849,329041
Butler County, NE,383118,345417,362100,382557,401203
Butler County, MO,1446947,1486092,1502966,1523088,1554959
Butler County, AL,698398,688287,712049,722093,729749
Butler County, OH,15911868,16422436,17272998,18044169,18829414
Butler County, IA,618475,616601,643757,685559,714856
Butler County, KS,2831655,2850882,2925813,3081576,3226195
Butler County, KY,407902,412179,427429,435054,452317
Butler County, PA,9803840,10036045,10421501,10938035,11363804
Butte County, ID,98600,100041,101146,109367,116418
Butte County, SD,361983,362163,376134,390478,400980
Butte County, CA,9157915,9583705,9871490,10267576,10490209
Butts County, GA,723161,740985,793572,835354,873179
Cabarrus County, NC,8097789,8620471,9073456,9564613,10089975
Cabell County, WV,3732634,3709557,3822162,4023793,4061897
Cache County, UT,4138731,4358603,4679035,5097062,5363946
